affiliationID,affiliationCode,description,createdAt,updatedAt
1,ACTA,Association of Canadian Travel Agents,2024-01-15 09:00:00,2024-01-15 09:00:00
2,IATA,International Air Transport Association,2024-01-15 09:00:00,2024-01-15 09:00:00
3,CLIA,Cruise Lines International Association,2024-01-15 09:00:00,2024-01-15 09:00:00
4,TICO,Travel Industry Council of Ontario,2024-01-15 09:00:00,2024-01-15 09:00:00
5,TIAM,Travel Industry Association of Manitoba,2024-01-15 09:00:00,2024-01-15 09:00:00
6,PATA,Pacific Asia Travel Association,2024-01-15 09:00:00,2024-01-15 09:00:00
7,ASTA,American Society of Travel Advisors,2024-01-15 09:00:00,2024-01-15 09:00:00
